Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,759,759,26.328,1172.87735,1172.87735,20000,19660799,21626879,23068671,19660799,21626879,23068671
2,904,825,48.45,2385.95445,1779.4159,40000,38273023,42991615,46923775,42991615,45350911,47448063
3,907,851,70.498,2461.09835,2006.6433833333333,60000,41418751,45088767,47972351,44564479,46923775,48758783
4,919,867,92.258,2454.7114,2118.6603875,80000,42205183,45613055,48234495,44302335,46661631,48758783
5,920,877,113.985,2463.534,2187.63511,100000,42991615,45875199,48496639,44564479,46923775,49020927
6,922,884,135.67,2449.43465,2231.2683666666667,120000,43253759,46137343,48496639,44302335,46661631,48758783
7,935,891,157.052,2405.7283,2256.191214285714,140000,43253759,46137343,48496639,43515903,45875199,47710207
8,937,896,178.388,2369.47915,2270.35220625,160000,43253759,45875199,48234495,42729471,45088767,46923775
9,939,901,199.679,2345.7016,2278.724361111111,180000,42991615,45875199,48234495,42205183,44564479,46661631
10,938,905,220.989,2343.10715,2285.16264,200000,42991615,45613055,47972351,42467327,44564479,46399487
11,936,907,242.348,2368.89135,2292.774340909091,220000,42991615,45613055,47972351,42729471,45088767,46923775
12,938,910,263.668,2356.2268,2298.0620458333333,240000,42991615,45613055,47972351,42467327,44826623,46661631
13,938,912,284.972,2354.6246,2302.4130115384614,260000,42991615,45350911,47710207,42467327,44826623,46661631
14,938,914,306.287,2340.4381,2305.129089285714,280000,42729471,45350911,47710207,42205183,44564479,46399487
15,938,915,327.596,2343.7264,2307.702243333333,300000,42729471,45350911,47710207,42205183,44564479,46399487
16,939,917,348.885,2348.3546,2310.243015625,320000,42729471,45350911,47448063,42467327,44826623,46661631
17,939,918,370.163,2361.61385,2313.264829411765,340000,42729471,45350911,47448063,42729471,45088767,46923775
18,939,919,391.465,2330.2392,2314.20785,360000,42729471,45350911,47448063,42205183,44564479,46399487
19,935,920,412.851,2350.9463,2316.141452631579,380000,42729471,45088767,47448063,42467327,44826623,46661631
20,935,921,434.224,2349.4746,2317.80811,400000,42729471,45088767,47185919,42467327,44826623,46661631
